Type,Produit,Date de début,Date de fin,Description,Montant,Frais,Devise,État,Solde
Paiement par carte,Valeur actuelle,2025-07-14 11:17:07,2025-07-15 16:15:37,Ochsner Sport,-59.90,0.00,CHF,TERMINÉ,9.36
Changes,Valeur actuelle,2025-07-21 14:08:52,2025-07-21 14:08:52,Change en CHF,40.00,0.00,CHF,TERMINÉ,49.36
Paiement par carte,Valeur actuelle,2025-07-21 14:09:03,2025-07-22 07:07:34,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,38.36
Paiement par carte,Valeur actuelle,2025-07-21 16:09:55,2025-07-22 15:26:14,Kalan Food And Be,-16.00,0.00,CHF,TERMINÉ,22.36
Changes,Valeur actuelle,2025-07-27 09:06:16,2025-07-27 09:06:16,Change en CHF,7.44,0.00,CHF,TERMINÉ,29.80
Paiement par carte,Valeur actuelle,2025-07-26 10:39:52,2025-07-27 14:52:47,Tamoil,-14.80,0.00,CHF,TERMINÉ,15.00
Paiement par carte,Valeur actuelle,2025-07-27 09:08:21,2025-07-28 07:01:36,SBB CFF FFS,-8.00,0.00,CHF,TERMINÉ,7.00
Virement,Valeur actuelle,2025-08-06 13:02:36,2025-08-06 13:02:36,Retrait depuis une Pocket,100.00,0.00,CHF,TERMINÉ,107.00
Paiement par carte,Valeur actuelle,2025-08-06 16:13:47,2025-08-07 06:30:02,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,104.70
Paiement par carte,Valeur actuelle,2025-08-06 06:52:38,2025-08-07 06:30:06,SBB CFF FFS,-2.40,0.00,CHF,TERMINÉ,102.30
Paiement par carte,Valeur actuelle,2025-08-07 06:30:19,2025-08-08 06:27:55,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,95.70
Paiement par carte,Valeur actuelle,2025-08-07 06:32:00,2025-08-08 06:27:55,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,89.10
Paiement par carte,Valeur actuelle,2025-08-07 06:33:38,2025-08-08 06:27:55,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,86.80
Paiement par carte,Valeur actuelle,2025-08-07 13:39:14,2025-08-08 06:27:55,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,80.20
Paiement par carte,Valeur actuelle,2025-08-07 16:14:56,2025-08-08 06:27:58,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,77.90
Paiement par carte,Valeur actuelle,2025-08-08 13:30:51,2025-08-09 06:13:23,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,71.30
Paiement par carte,Valeur actuelle,2025-08-08 16:19:23,2025-08-09 06:13:25,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,69.00
Paiement par carte,Valeur actuelle,2025-08-08 17:35:13,2025-08-09 14:15:44,Tamoil,-11.10,0.00,CHF,TERMINÉ,57.90
Paiement par carte,Valeur actuelle,2025-08-09 20:42:46,2025-08-10 14:31:53,Guinness Irish,-14.00,0.00,CHF,TERMINÉ,43.90
Paiement par carte,Valeur actuelle,2025-08-11 13:33:21,2025-08-12 06:22:27,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,37.30
Paiement par carte,Valeur actuelle,2025-08-10 22:39:11,2025-08-12 06:22:30,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,35.00
Paiement par carte,Valeur actuelle,2025-08-10 22:36:00,2025-08-12 06:22:30,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,28.40
Paiement par carte,Valeur actuelle,2025-08-11 23:06:40,2025-08-13 06:34:38,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,21.80
Paiement par carte,Valeur actuelle,2025-08-12 06:52:48,2025-08-13 06:34:39,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,19.50
Changes,Valeur actuelle,2025-08-19 18:08:30,2025-08-19 18:08:30,Change en CHF,60.00,0.00,CHF,TERMINÉ,79.50
Changes,Valeur actuelle,2025-08-19 18:08:51,2025-08-19 18:08:51,Change en CHF,4.60,0.00,CHF,TERMINÉ,84.10
Paiement par carte,Valeur actuelle,2025-08-19 18:05:51,2025-08-20 06:34:04,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,73.10
Changes,Valeur actuelle,2025-08-20 19:53:33,2025-08-20 19:53:33,Change en EUR,-18.79,0.00,CHF,TERMINÉ,54.31
Paiement par carte,Valeur actuelle,2025-08-20 21:54:16,2025-08-21 06:29:31,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,47.71
Paiement par carte,Valeur actuelle,2025-08-19 23:27:14,2025-08-21 06:29:33,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,41.11
Paiement par carte,Valeur actuelle,2025-08-21 06:52:05,2025-08-22 06:28:26,SBB CFF FFS,-2.40,0.00,CHF,TERMINÉ,38.71
